gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g01105	18.1002	12.9877	32.5033	52.2926	24.5519	24.1575
MvSl-1064-A2-R4_A2g01107	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01115	77.5945	66.0165	319.765	226.274	107.711	98.4048
MvSl-1064-A2-R4_A2g01116	83.7037	72.2248	60.8118	74.7032	73.2867	83.9265
MvSl-1064-A2-R4_A2g01117	22.5015	13.0156	25.1227	22.0329	22.4384	25.7
MvSl-1064-A2-R4_A2g01118	44.3101	43.7147	101.554	107.653	116.273	153.768
MvSl-1064-A2-R4_A2g01119	65.5787	57.3316	78.0217	116.123	112.549	134.023
MvSl-1064-A2-R4_A2g01124	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01125	40.0522	51	81.5138	107.533	126.134	134.944
MvSl-1064-A2-R4_A2g01126	0	0	0	0	0	1
MvSl-1064-A2-R4_A2g01127	0	0	1.99166	3.65017	0	2.40325
MvSl-1064-A2-R4_A2g01128	0	2	2	3	0	3
MvSl-1064-A2-R4_A2g01129	3	2	2	17	0	0
MvSl-1064-A2-R4_A2g01130	0	1	1	3	0	0
MvSl-1064-A2-R4_A2g01131	20.4431	22.8829	24.4945	46.0042	21.6513	23.5044
MvSl-1064-A2-R4_A2g01140	21.1091	22.0386	38.2866	54.0151	65.6753	127.813
MvSl-1064-A2-R4_A2g01141	83.1495	340.527	1170.36	1093.05	1022.36	1571.76
MvSl-1064-A2-R4_A2g01144	218.169	353.153	248.305	448.448	192.914	149.898
MvSl-1064-A2-R4_A2g01146	29	20	50	36	40	31
MvSl-1064-A2-R4_A2g01147	0	1.02759	2.00994	4.04533	1.00784	0
MvSl-1064-A2-R4_A2g01148	91	58	38	25	13	10
MvSl-1064-A2-R4_A2g01149	0	3.12514	10.521	8.08159	9.81877	14.9794
MvSl-1064-A2-R4_A2g01150	363.946	385.082	1039.08	1212.76	356.712	623.198
MvSl-1064-A2-R4_A2g01156	164.98	213.618	178.729	308.337	143.284	112.667
MvSl-1064-A2-R4_A2g01157	0	0	1.10792	1.13043	12.4904	9.18793
MvSl-1064-A2-R4_A2g01158	0	0	0	0	1.03306	8.11872
MvSl-1064-A2-R4_A2g01163	320.91	290.148	1172.28	811.354	559.637	670.176
MvSl-1064-A2-R4_A2g01164	4.47126	4.68203	2.33553	4.52489	12.9214	19.1131
MvSl-1064-A2-R4_A2g01167	3.00061	1.00091	25.0073	32.0057	7.0132	11.0154
MvSl-1064-A2-R4_A2g01168	0	0	0	1	1.08993	2.15034
MvSl-1064-A2-R4_A2g01171	8.25467	7	65.1934	57.2726	24.105	25.4321
MvSl-1064-A2-R4_A2g01172	0	2.15546	10.7816	5.85725	162.52	320.962
