aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_A1g00384	MvSl-1064-A2-R4_A2g00387	MvSl-1064-A1-R4_A1g00384	1	1	MvSl-1064-A2-R4_A2g00387	15	8
MvSl-1064-A1-R4_A1g00383	MvSl-1064-A2-R4_A2g00388	MvSl-1064-A1-R4_A1g00383	77	39	MvSl-1064-A2-R4_A2g00388	311	208
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A2-R4_A2g00393	MvSl-1064-A1-R4_A1g00380	1589	1735	MvSl-1064-A2-R4_A2g00393	1366	1255
MvSl-1064-A1-R4_A1g01189	MvSl-1064-A2-R4_A2g00403	MvSl-1064-A1-R4_A1g01189	2419	1901	MvSl-1064-A2-R4_A2g00403	3571	3521
MvSl-1064-A1-R4_A1g01375	MvSl-1064-A2-R4_A2g00417	MvSl-1064-A1-R4_A1g01375	341	448	MvSl-1064-A2-R4_A2g00417	801	821
MvSl-1064-A1-R4_A1g01376	MvSl-1064-A2-R4_A2g00418	MvSl-1064-A1-R4_A1g01376	616	514	MvSl-1064-A2-R4_A2g00418	1203	990
MvSl-1064-A1-R4_A1g01378	MvSl-1064-A2-R4_A2g00420	MvSl-1064-A1-R4_A1g01378	178	167	MvSl-1064-A2-R4_A2g00420	314.304	171.822
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A2-R4_A2g00431	MvSl-1064-A1-R4_A1g00624	2410	2728	MvSl-1064-A2-R4_A2g00431	1796	1801
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A2-R4_A2g00443	MvSl-1064-A1-R4_A1g00185	5413	5798	MvSl-1064-A2-R4_A2g00443	8791	8333
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A2-R4_A2g00444	MvSl-1064-A1-R4_A1g00186	3344	3399	MvSl-1064-A2-R4_A2g00444	3745	4279
