genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC01-1g02105	0.00575	0.00258	0.0092	0.00532	0.624993	aAutosome	aAutosome	NON	6.89093	A1
MvSl-1064-A1-R4_MC01-1g02109	0.00199	0.002	0.0081	0.00815	0.245676	aAutosome	aAutosome	NON	5.04579	A1
MvSl-1064-A1-R4_MC01-1g02111	0	0.00004	0.00001	0.01645	0	aAutosome	aAutosome	NON	2.94085	A1
MvSl-1064-A1-R4_MC01-1g02115	0.00207	0.00207	0.00549	0.0039	0.377042	aAutosome	aAutosome	NON	5.01528	A1
MvSl-1064-A1-R4_MC01-1g02122	0.00877	0.00333	0.00643	0.00457	1.3639	aAutosome	aAutosome	NON	6.21066	A1
MvSl-1064-A1-R4_MC01-1g02124	0.00363	0.00364	0.00004	0.00014	90.5237	aAutosome	aAutosome	NON	1.9121	A1
MvSl-1064-A1-R4_MC01-1g02127	0.00231	0.00232	0.01802	0.00911	0.12819	aAutosome	aAutosome	NON	4.90527	A1
MvSl-1064-A1-R4_MC01-1g02129	0.00197	0.00197	0.00002	0.00005	98.01	aAutosome	aAutosome	NON	6.46083	A1
MvSl-1064-A1-R4_MC01-1g02131	0.00438	0.00252	0.00374	0.00368	1.17109	aAutosome	aAutosome	NON	4.89184	A1
MvSl-1064-A1-R4_MC01-1g02141	0.00244	0.00174	0.01208	0.00704	0.201985	aAutosome	aAutosome	NON	6.89289	A1
MvSl-1064-A1-R4_MC01-1g02148	0.00883	0.00443	0.00009	0.00079	98.0022	aAutosome	aAutosome	NON	7.37909	A1
MvSl-1064-A1-R4_MC01-1g02157	0.00001	0	0.00715	0.00047	0.00139858	aAutosome	aAutosome	NON	5.52713	A1
MvSl-1064-A1-R4_MC01-1g02159	0.00304	0.00306	0.0548	0.02504	0.0554744	aAutosome	aAutosome	NON	5.15963	A1
MvSl-1064-A1-R4_MC01-1g02163	0.00304	0.00216	0.02042	0.01189	0.148873	aAutosome	aAutosome	NON	5.62671	A1
